Código,Nombre,Código de Barras,SKU,Servicio,Uses,Costo,Precio,IVA,IEPS,SAT code,Proveedor,Categorías,AppliesTo
233,Placa con 6 coples SC dúplex Monomodo,"[""SBE-6SCSM""]",SBE-6SCSM,TRUE,No,,13.55,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
234,Placa con 6 coples SC dúplex Multimodo. cumplen hasta con OM4,"[""SBE-6SC""]",SBE-6SC,TRUE,No,,10.50,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
235,Placa con 6 coples SC/APC dúplex Monomodo,"[""SBE-6SCAPCSM""]",SBE-6SCAPCSM,TRUE,No,,13.80,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
236,Placa de pared angulada p/Jack cat 6A. 6 y 5e 1 p color blanco,"[""SBE-2517-1PA-WT""]",SBE-2517-1PA-WT,TRUE,No,,1.06,16,0,43223300,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
237,Placa de pared angulada p/Jack cat 6A. 6 y 5e 2 p color blanco,"[""SBE-2517-2PA-WT""]",SBE-2517-2PA-WT,TRUE,No,,1.06,16,0,43223300,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
238,Placa de pared para jacks cat 6 y 5e 1 puerto color blanco,"[""SBE-2517-1P-WT""]",SBE-2517-1P-WT,TRUE,No,,0.80,16,0,43223300,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
239,Placa de pared para jacks cat 6 y 5e 2 puertos color blanco,"[""SBE-2517-2P-WT""]",SBE-2517-2P-WT,TRUE,No,,0.80,16,0,43223300,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
240,Placa de pared para jacks cat 6 y 5e 3 puertos color blanco,"[""SBE-2517-3P-WT""]",SBE-2517-3P-WT,TRUE,No,,0.80,16,0,43223300,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
241,Placa de pared para jacks cat 6 y 5e 4 puertos color blanco,"[""SBE-2517-4P-WT""]",SBE-2517-4P-WT,TRUE,No,,0.80,16,0,43223300,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
242,Placa vacía con capacidad hasta 6 coples SC simplex o LC dúplex,"[""SBE-6LC/SCWOC""]",SBE-6LC/SCWOC,TRUE,No,,2.59,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
243,Plug FTP RJ 45 8 posiciones 50 micras de oro,"[""SBE-2401-8P8C-FTP""]",SBE-2401-8P8C-FTP,TRUE,No,,0.20,16,0,43223300,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
