Código,Nombre,Código de Barras,SKU,Servicio,Uses,Costo,Precio,IVA,IEPS,SAT code,Proveedor,Categorías,AppliesTo
26,"""Charola deslizable para gabinete de 1000 mm de profundidad x 19""""""","[""SBE-CDES1M""]",SBE-CDES1M,TRUE,No,,25.00,16,0,39131704,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
27,"""Charola deslizable para gabinete de 600 mm de profundidad x 19""""""","[""SBE-CDES60""]",SBE-CDES60,TRUE,No,,18.95,16,0,39131704,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
28,Charola doble lado una pieza apoyos al centro 1918,"[""SBE-CDL1P1918""]",SBE-CDL1P1918,TRUE,No,,24.50,16,0,39131704,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
29,"""Charola fija de 10"""" x 19"""" para teclado.""","[""SBE-CT1910""]",SBE-CT1910,TRUE,No,,9.52,16,0,39131704,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
30,"""Charola fija de 14"""" x 19"""".""","[""SBE-C1914""]",SBE-C1914,TRUE,No,,11.75,16,0,39131704,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
31,"""Charola fija de 18"""" x 19"""".""","[""SBE-C1918""]",SBE-C1918,TRUE,No,,14.71,16,0,39131704,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
32,"""Charola fija ventilada para gabinete de 1000 mm de profundidad x 19""""""","[""SBE-CF1929V""]",SBE-CF1929V,TRUE,No,,14.37,16,0,39131704,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
33,"""Charola fija ventilada para gabinete de 600 mm de profundidad x 19""""""","[""SBE-CF1915V""]",SBE-CF1915V,TRUE,No,,11.22,16,0,39131704,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
34,"""Charola fija ventilada para gabinete de 800 mm de profundidad x 19""""""","[""SBE-CF1918V""]",SBE-CF1918V,TRUE,No,,13.00,16,0,39131704,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
35,Conector LC Multimodo.,"[""SBE-CONLC""]",SBE-CONLC,TRUE,No,,1.58,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
36,Conector LC Monomodo.,"[""SBE-CONLCSM""]",SBE-CONLCSM,TRUE,No,,1.71,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
37,Conector prepulido LC Monomodo.,"[""SBE-CONPPLCMM4""]",SBE-CONPPLCMM4,TRUE,No,,3.91,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
38,Conector prepulido LC Monomodo.,"[""SBE-CONPPLCSM""]",SBE-CONPPLCSM,TRUE,No,,7.07,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
39,Conector prepulido SC Multimodo,"[""SBE-CONPPSCMM4""]",SBE-CONPPSCMM4,TRUE,No,,3.34,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
40,Conector prepulido SC Monomodo.,"[""SBE-CONPPSCSMAPC""]",SBE-CONPPSCSMAPC,TRUE,No,,7.76,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
41,Conector prepulido SC Monomodo.,"[""SBE-CONPPSCSM""]",SBE-CONPPSCSM,TRUE,No,,6.96,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
42,Conector SC Multimodo.,"[""SBE-CONSC""]",SBE-CONSC,TRUE,No,,1.12,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
43,Conector SC Monomodo,"[""SBE-CONSCSM""]",SBE-CONSCSM,TRUE,No,,1.54,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
44,Cortadora de Recubrimiento Profesional,"[""SBE-S144H""]",SBE-S144H,TRUE,No,,14.00,16,0,43223300,Sbe Tech,Herramientas. Equipos de Medición y Prueba. Limpieza,"[""store"",""eshop"",""retailer""]"
45,Cortadora para fibra óptica de 250um. 900um. 2mm. 3mm y drop. incluye deposito,"[""SBE-CFOD""]",SBE-CFOD,TRUE,No,,295.80,16,0,43223300,Sbe Tech,Herramientas. Equipos de Medición y Prueba. Limpieza,"[""store"",""eshop"",""retailer""]"
46,Desforradora para cable Drop tipo Mariposa y Mariposa Figura 8,"[""SBE-DESFORDROPM""]",SBE-DESFORDROPM,TRUE,No,,24.15,16,0,43223300,Sbe Tech,Herramientas. Equipos de Medición y Prueba. Limpieza,"[""store"",""eshop"",""retailer""]"
47,Distribuidor de Fibra Óptica Deslizable para 3 placas. hasta 18 fibras. 1 UR,"[""SBE-DFO18D""]",SBE-DFO18D,TRUE,No,,35.75,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
48,Distribuidor de Fibra Óptica Deslizable para 6 placas. hasta 36 fibras. 2 UR,"[""SBE-DFO36D""]",SBE-DFO36D,TRUE,No,,52.50,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
49,Distribuidor de Fibra Óptica hasta 24 coples,"[""SBE-LFO12/24""]",SBE-LFO12/24,TRUE,No,,28.77,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
50,Distribuidor de Fibra Óptica para 2 placas con coples. 1 UR,"[""SBE-DFO12""]",SBE-DFO12,TRUE,No,,41.47,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
51,Distribuidor de Fibra Óptica para 4 placas con coples. 2 UR,"[""SBE-DFO24""]",SBE-DFO24,TRUE,No,,55.04,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
52,"""Espiral blanco 1"""". rollo con 10 metros""","[""SBE-ESP25""]",SBE-ESP25,TRUE,No,,4.82,16,0,31151900,Sbe Tech,Sujetacables de Tela. Plásticos y Espirales,"[""store"",""eshop"",""retailer""]"
53,"""Espiral blanco 1/2"""". rollo con 10 metros""","[""SBE-ESP12""]",SBE-ESP12,TRUE,No,,2.55,16,0,31151900,Sbe Tech,Sujetacables de Tela. Plásticos y Espirales,"[""store"",""eshop"",""retailer""]"
54,"""Espiral blanco 1/4"""". rollo con 10 metros""","[""SBE-ESP6""]",SBE-ESP6,TRUE,No,,1.36,16,0,31151900,Sbe Tech,Sujetacables de Tela. Plásticos y Espirales,"[""store"",""eshop"",""retailer""]"
55,"""Espiral blanco 3/4"""". rollo con 10 metros""","[""SBE-ESP20""]",SBE-ESP20,TRUE,No,,3.50,16,0,31151900,Sbe Tech,Sujetacables de Tela. Plásticos y Espirales,"[""store"",""eshop"",""retailer""]"
56,"""Espiral negro 1"""". rollo con 10 metros""","[""SBE-ESPN25""]",SBE-ESPN25,TRUE,No,,4.82,16,0,31151900,Sbe Tech,Sujetacables de Tela. Plásticos y Espirales,"[""store"",""eshop"",""retailer""]"
57,"""Espiral negro 1/2"""". rollo con 10 metros""","[""SBE-ESPN12""]",SBE-ESPN12,TRUE,No,,2.55,16,0,31151900,Sbe Tech,Sujetacables de Tela. Plásticos y Espirales,"[""store"",""eshop"",""retailer""]"
58,"""Espiral negro 1/4"""". rollo con 10 metros""","[""SBE-ESPN6""]",SBE-ESPN6,TRUE,No,,1.36,16,0,31151900,Sbe Tech,Sujetacables de Tela. Plásticos y Espirales,"[""store"",""eshop"",""retailer""]"
59,"""Espiral negro 3/4"""". rollo con 10 metros""","[""SBE-ESPN20""]",SBE-ESPN20,TRUE,No,,3.50,16,0,31151900,Sbe Tech,Sujetacables de Tela. Plásticos y Espirales,"[""store"",""eshop"",""retailer""]"
60,Fan out kit para 12 fibras,"[""SBE-FOK12F""]",SBE-FOK12F,TRUE,No,,7.45,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
61,Fan out kit para 6 fibras,"[""SBE-FOK6F""]",SBE-FOK6F,TRUE,No,,6.52,16,0,43223300,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
62,Fibra Óptica ADSS 9/125 tipo G652D. SPAN 100 metros. 12 hilos. OS2,"[""SBE-FOADSSJ12SM""]",SBE-FOADSSJ12SM,TRUE,No,,0.79,16,0,26121600,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
63,Fibra Óptica ADSS 9/125 tipo G652D. SPAN 100 metros. 24 hilos. OS2,"[""SBE-FOADSSJ24SM""]",SBE-FOADSSJ24SM,TRUE,No,,0.93,16,0,26121600,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
64,Fibra Óptica ADSS 9/125 tipo G652D. SPAN 100 metros. 6 hilos. OS2,"[""SBE-FOADSS6SM""]",SBE-FOADSS6SM,TRUE,No,,0.60,16,0,26121600,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
65,Fibra Óptica con armadura dieléctrica de 12 hilos OM3,"[""SBE-FOEXARGYAD12MM3""]",SBE-FOEXARGYAD12MM3,TRUE,No,,2.05,16,0,26121600,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
66,Fibra Óptica con armadura dieléctrica de 6 hilos OM3,"[""SBE-FOEXARGYAD6MM3""]",SBE-FOEXARGYAD6MM3,TRUE,No,,1.19,16,0,26121600,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
67,Fibra Óptica con armadura dieléctrica tipo G652D de 12 hilos OS2,"[""SBE-FOEXARGYAD12SM""]",SBE-FOEXARGYAD12SM,TRUE,No,,1.24,16,0,26121600,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
68,Fibra Óptica con armadura dieléctrica tipo G652D de 6 hilos OS2,"[""SBE-FOEXARGYAD6SM""]",SBE-FOEXARGYAD6SM,TRUE,No,,0.95,16,0,26121600,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
69,Fibra Óptica con armadura metálica 50/125 de 12 hilos OM3 10G,"[""SBE-FOEXAR12MM50M3""]",SBE-FOEXAR12MM50M3,TRUE,No,,1.27,16,0,26121600,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
70,Fibra Óptica con armadura metálica 50/125 de 12 hilos OM3 10G,"[""SBE-FOEXAR12MM50M4""]",SBE-FOEXAR12MM50M4,TRUE,No,,2.53,16,0,26121600,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
71,Fibra Optica con armadura metalica 50/125 de 24 hilos OM2,"[""SBE-FOEXAR24MM50OM2""]",SBE-FOEXAR24MM50OM2,TRUE,No,,1.87,16,0,26121600,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
72,Fibra Óptica con armadura metálica 50/125 de 6 hilos OM2,"[""SBE-FOEXAR12MM50M2""]",SBE-FOEXAR12MM50M2,TRUE,No,,1.27,16,0,26121600,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
73,Fibra Óptica con armadura metálica 50/125 de 6 hilos OM3 10G,"[""SBE-FOEXAR6MM50M3""]",SBE-FOEXAR6MM50M3,TRUE,No,,1.08,16,0,26121600,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
74,Fibra Óptica con armadura metálica 50/125 de 6 hilos OM4 10G,"[""SBE-FOEXAR6MM50M4""]",SBE-FOEXAR6MM50M4,TRUE,No,,1.58,16,0,26121600,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
75,Fibra Óptica con armadura metálica de 12 hilos OS2,"[""SBE-FOEXAR12SM""]",SBE-FOEXAR12SM,TRUE,No,,0.69,16,0,26121600,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
76,Fibra Óptica con armadura metálica de 24 hilos OS2,"[""SBE-FOEXAR24SM""]",SBE-FOEXAR24SM,TRUE,No,,0.72,16,0,26121600,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
77,Fibra Óptica con armadura metálica de 6 hilos OS2,"[""SBE-FOEXAR6SM""]",SBE-FOEXAR6SM,TRUE,No,,0.65,16,0,26121600,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
78,Fibra Óptica FTTH G.657A2 tipo mariposa SM 9u. LSZH. 1 fibra,"[""SBE-FODROP1BT""]",SBE-FODROP1BT,TRUE,No,,0.16,16,0,26121600,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
79,Fibra Óptica FTTH G.657A2 tipo mariposa SM 9u. LSZH. 2 fibra,"[""SBE-FODROP2BT""]",SBE-FODROP2BT,TRUE,No,,0.22,16,0,26121600,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
80,Fibra Óptica FTTH redonda SM 9/125 tipo G.657A2. LSZH. 1 fibra,"[""SBE-FODROPR1""]",SBE-FODROPR1,TRUE,No,,0.21,16,0,26121600,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
81,Fibra Óptica FTTH redonda SM 9/125 tipo G.657A2. LSZH. 2 fibras,"[""SBE-FODROPR2""]",SBE-FODROPR2,TRUE,No,,0.37,16,0,26121600,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
82,Fibra Óptica FTTH tipo mariposa fig. 8 SM 9/125 tipo G657A2. LSZH. 1 fibra,"[""SBE-FODROP1BTF8""]",SBE-FODROP1BTF8,TRUE,No,,0.19,16,0,26121600,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
83,Fibra Óptica FTTH tipo mariposa fig. 8 SM 9/125 tipo G657A2. LSZH. 2 fibra,"[""SBE-FODROP2BTF8""]",SBE-FODROP2BTF8,TRUE,No,,0.22,16,0,26121600,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
84,Fibra Óptica para uso en interiores multimodo 50/125 12 hilos OM3. LSZH,"[""SBE-FOINT12MM3""]",SBE-FOINT12MM3,TRUE,No,,2.18,16,0,26121600,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
85,Fibra Óptica para uso en interiores multimodo 50/125 6 hilos OM3. LSZH,"[""SBE-FOINT6MM3""]",SBE-FOINT6MM3,TRUE,No,,1.22,16,0,26121600,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
86,Fibra Óptica para uso en interiores multimodo 62.5/125 6 hilos OM1,"[""SBE-FOINT6MM""]",SBE-FOINT6MM,TRUE,No,,1.18,16,0,26121600,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
87,Fibra Óptica para uso interior/exterior tubo apretado  9/125. OS2. 12 hilos,"[""SBE-FOINE12SM""]",SBE-FOINE12SM,TRUE,No,,0.90,16,0,26121600,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
88,Fibra Óptica para uso interior/exterior tubo apretado  9/125. OS2. 24 hilos,"[""SBE-FOINE24SM""]",SBE-FOINE24SM,TRUE,No,,1.65,16,0,26121600,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
89,Fibra Óptica para uso interior/exterior tubo apretado  9/125. OS2. 6 hilos,"[""SBE-FOINE6SM""]",SBE-FOINE6SM,TRUE,No,,0.54,16,0,26121600,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
90,Fibra Óptica para uso interior/exterior tubo apretado 50/125 OM2 12 hilos,"[""SBE-FOINE12MM50""]",SBE-FOINE12MM50,TRUE,No,,1.04,16,0,26121600,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
91,Fibra Optica para uso interior/exterior tubo apretado 50/125. LSZH. 10G. OM4 12 hilos,"[""SBE-FOINE125010GOM4""]",SBE-FOINE125010GOM4,TRUE,No,,2.96,16,0,26121600,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
92,Fibra Optica para uso interior/exterior tubo apretado 50/125. LSZH. 10G. OM4 6 hilos,"[""SBE-FOINE65010GOM4""]",SBE-FOINE65010GOM4,TRUE,No,,2.50,16,0,26121600,Sbe Tech,Fibra Óptica,"[""store"",""eshop"",""retailer""]"
93,Gabinete de pared de 600 mm. 450 mm de profundidad y 12UR de alto. Características: Puerta con cristal Templado.,"[""SBE-GNLPAR12UR""]",SBE-GNLPAR12UR,TRUE,No,,104.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
94,Gabinete de pared de 600 mm. 600 mm de profundidad y 12UR de alto. Características: Puerta con cristal Templado.,"[""SBE-GNLPAR12URP""]",SBE-GNLPAR12URP,TRUE,No,,131.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
95,Gabinete de pared de 600 mm. 450 mm de profundidad útil y 12UR de alto. Características: Puerta con cristal templado ( CON CHAPA DE SEGURIDA),"[""SBE-GPAR10URCH""]",SBE-GPAR10URCH,TRUE,No,,145.23,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
96,Gabinete de pared de 600 mm. 450 mm de profundidad útil y 15UR de alto. Características: Puerta con cristal Templado.,"[""SBE-GNLPAR15UR""]",SBE-GNLPAR15UR,TRUE,No,,120.93,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
97,Gabinete de pared de 600 mm. 450 mm de profundidad y 22UR de alto. Características: Puerta con cristal templado.,"[""SBE-GNLPAR22UR""]",SBE-GNLPAR22UR,TRUE,No,,174.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
98,Gabinete de pared de 600 mm. 450 mm de profundidad y 6UR de alto. Puerta con cristal templado ( CON CHAPA DE SEGURIDAD NUEVA ).,"[""SBE-GNLPAR6UR""]",SBE-GNLPAR6UR,TRUE,No,,89.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
99,Gabinete de pared de 600 mm. 450 mm de profundidad y 9UR de alto. Puerta de cristal templado  (  CON CHAPA DE SEGURIDAD NUEVA ).,"[""SBE-GNLPAR9UR""]",SBE-GNLPAR9UR,TRUE,No,,97.50,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
100,Gabinete de pared de 600 mm. 600 mm de profundidad útil y 15UR de alto. Características: Puerta con cristal Templado.,"[""SBE-GNLPAR15URP""]",SBE-GNLPAR15URP,TRUE,No,,140.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
101,Gabinete de pared de 600 mm. 600 mm de profundidad y 22UR de alto. Características: Puerta con cristal templado.,"[""SBE-GNLPAR22URP""]",SBE-GNLPAR22URP,TRUE,No,,185.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
102,Gabinete de pared de 600 mm. 600 mm de profundidad y 6UR de alto. Puerta con cristal templado ( CON CHAPA DE SEGURIDAD NUEVA ).,"[""SBE-GNLPAR6URP""]",SBE-GNLPAR6URP,TRUE,No,,97.20,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
103,Gabinete de pared de 600 mm. 600 mm de profundidad y 9UR de alto. Puerta de cristal templado  ( CON CHAPA DE SEGURIDAD NUEVA ).,"[""SBE-GNLPAR9URP""]",SBE-GNLPAR9URP,TRUE,No,,119.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
104,Gabinete de pared de 600mm de ancho x 550mm de fondo X 22 UR de altura de 3 cuerpos abatible.,"[""SBE-GNLPAR22URP3C""]",SBE-GNLPAR22URP3C,TRUE,No,,209.09,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
105,Gabinete de pared de 600 mm de ancho X 550 mm de fondo X 6 UR de altura de 3 cuerpos abatibles.,"[""SBE-GNLPAR6UR3C""]",SBE-GNLPAR6UR3C,TRUE,No,,105.60,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
106,Gabinete de piso de 600 mm de ancho. 1000 mm de profundidad y 20 UR de alto (4 pies). puerta ventilada,"[""SBE-GNL20URV""]",SBE-GNL20URV,TRUE,No,,358.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
107,Gabinete de piso de 600 mm de ancho. 1000 mm de profundidad y 20 UR de alto (7 pies). puerta de cristal templado,"[""SBE-GNL20URP""]",SBE-GNL20URP,TRUE,No,,290.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
108,Gabinete de piso de 600 mm de ancho. 1000 mm de profundidad y 24 UR de alto puerta delantera de cristal templado.,"[""SBE-GNL24URP""]",SBE-GNL24URP,TRUE,No,,318.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
109,Gabinete de piso de 600 mm de ancho. 1000 mm de profundidad y 26 UR de alto puerta delantera de cristal templado.,"[""SBE-GNL26URP""]",SBE-GNL26URP,TRUE,No,,300.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
110,Gabinete de piso de 600 mm de ancho. 1000 mm de profundidad y 42 UR de alto puerta de cristal templado.,"[""SBE-GNL42URP""]",SBE-GNL42URP,TRUE,No,,443.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
111,Gabinete de piso de 600 mm de ancho. 1000 mm de profundidad y 42 UR de alto puerta ventilada.,"[""SBE-GNL42URV""]",SBE-GNL42URV,TRUE,No,,490.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
112,Gabinete de piso de 600 mm de ancho. 1200 mm de profundidad y 42 UR de alto puerta ventilada.,"[""SBE-GNL42URV6001.2P""]",SBE-GNL42URV6001.2P,TRUE,No,,568.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
113,Gabinete de piso de 600 mm de ancho. 600 mm de profundidad y 20 UR de alto puerta delantera de cristal templado.,"[""SBE-GNL20URP600""]",SBE-GNL20URP600,TRUE,No,,242.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
114,Gabinete de piso de 600 mm de ancho. 600 mm de profundidad y 20 UR de alto puerta delantera ventilada.,"[""SBE-GNL20URV600""]",SBE-GNL20URV600,TRUE,No,,247.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
115,Gabinete de piso de 600 mm de ancho. 600 mm de profundidad y 24 UR de alto puerta delantera de cristal templado.,"[""SBE-GNL24URP600""]",SBE-GNL24URP600,TRUE,No,,271.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
116,Gabinete de piso de 600 mm de ancho. 600 mm de profundidad y 26 UR de alto puerta delantera de cristal.,"[""SBE-GNL26URP600""]",SBE-GNL26URP600,TRUE,No,,259.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
117,Gabinete de piso de 600 mm de ancho. 600 mm de profundidad y 42 UR de alto puerta de cristal templado.,"[""SBE-GNL42URP600""]",SBE-GNL42URP600,TRUE,No,,356.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
118,Gabinete de piso de 600 mm de ancho. 600 mm de profundidad y 42 UR de alto puerta ventilada.,"[""SBE-GNL42URV600""]",SBE-GNL42URV600,TRUE,No,,335.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
119,Gabinete de piso de 600 mm de ancho. 800 mm de profundidad y 20 UR de alto puerta de cristal templado.,"[""SBE-GNL20UR""]",SBE-GNL20UR,TRUE,No,,273.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
120,Gabinete de piso de 600 mm de ancho. 800 mm de profundidad y 24 UR de alto puerta de cristal al frente templado.,"[""SBE-GNL24UR""]",SBE-GNL24UR,TRUE,No,,292.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
121,Gabinete de piso de 600 mm de ancho. 800 mm de profundidad y 26 UR de alto puerta de cristal templado.,"[""SBE-GNL26UR""]",SBE-GNL26UR,TRUE,No,,280.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
122,Gabinete de piso de 600 mm de ancho. 800 mm de profundidad y 42 UR de alto puerta de cristal templado.,"[""SBE-GNL42UR""]",SBE-GNL42UR,TRUE,No,,396.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
123,Gabinete de piso de 600 mm de ancho. 800 mm de profundidad y 42 UR de alto puerta ventilada.,"[""SBE-GNL42UR6X8V""]",SBE-GNL42UR6X8V,TRUE,No,,414.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
124,Gabinete de piso de 800 mm de ancho. 1000 mm de profundidad y 42 UR de alto (7 pies). puerta de cristal templado.,"[""SBE-GNL42URP800""]",SBE-GNL42URP800,TRUE,No,,750.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
125,Gabinete de piso de 800 mm de ancho. 1000 mm de profundidad y 42 UR de alto. Puerta ventilada,"[""SBE-GNL42URV800""]",SBE-GNL42URV800,TRUE,No,,850.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
126,Gabinete de piso de 800 mm de ancho. 1200 mm de profundidad y 42 UR de alto. Puerta cristal templado.,"[""SBE-GNL42URP8001.2P""]",SBE-GNL42URP8001.2P,TRUE,No,,824.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
127,Gabinete de piso de 800 mm de ancho. 1200 mm de profundidad y 42 UR de alto. Puerta delantera ventilada.,"[""SBE-GNL42URV8001.2P""]",SBE-GNL42URV8001.2P,TRUE,No,,917.00,16,0,43223300,Sbe Tech,Racks y Gabinetes,"[""store"",""eshop"",""retailer""]"
128,Herramienta de impacto con navaja 110,"[""SBE-KHIMP""]",SBE-KHIMP,TRUE,No,,13.14,16,0,43223300,Sbe Tech,Herramientas. Equipos de Medición y Prueba. Limpieza,"[""store"",""eshop"",""retailer""]"
129,Inserto ciego color blanco,"[""SBE-BLANK-WT""]",SBE-BLANK-WT,TRUE,No,,0.23,16,0,43223300,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
130,Jack categoría 5e color azul,"[""SBE-2302-BL""]",SBE-2302-BL,TRUE,No,,1.19,16,0,43223300,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
131,Jack categoría 5e color blanco,"[""SBE-2302-WT""]",SBE-2302-WT,TRUE,No,,1.19,16,0,43223300,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
132,Jack categoría 6 color azul,"[""SBE-JACKC6-BL""]",SBE-JACKC6-BL,TRUE,No,,2.28,16,0,43223300,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
133,Jack categoría 6 color blanco,"[""SBE-JACKC6-WT""]",SBE-JACKC6-WT,TRUE,No,,2.28,16,0,43223300,Sbe Tech,Cableado en Cobre,"[""store"",""eshop"",""retailer""]"
